,UNODC,unodc_ddds@un.org,REGION,SUB-REGION,INDICATOR,DIMENSION,CATEGORY,SEX,AGE,YEAR,COUNTS,CASE-VALUE,SOURCE
521,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,30,GLOTIP
523,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,49,GLOTIP
530,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,5,GLOTIP
537,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,66,GLOTIP
539,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,5,GLOTIP
540,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2019,Counts,11,GLOTIP
541,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,46,GLOTIP
543,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,22,GLOTIP
545,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,313,GLOTIP
546,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2021,Counts,5,GLOTIP
547,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2021,Counts,36,GLOTIP
548,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2021,Counts,16,GLOTIP
549,BRA,Brazil,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,586,GLOTIP
579,BTN,Bhutan,Asia,Southern Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,178,GLOTIP
621,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,10,GLOTIP
623,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,97,GLOTIP
626,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2015,Counts,5,GLOTIP
628,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2015,Counts,55,GLOTIP
630,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2016,Counts,33,GLOTIP
631,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,49,GLOTIP
636,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,60,GLOTIP
637,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,94,GLOTIP
643,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,7,GLOTIP
644,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,38,GLOTIP
645,CAN,Canada,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,88,GLOTIP
649,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,8,GLOTIP
655,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,37,GLOTIP
660,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,8,GLOTIP
666,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,6,GLOTIP
667,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,37,GLOTIP
674,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2021,Counts,8,GLOTIP
676,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,25,GLOTIP
680,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2021,Counts,6,GLOTIP
681,CHE,Switzerland,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,19,GLOTIP
688,CHL,Chile,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,6,GLOTIP
700,CHL,Chile,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,8,GLOTIP
710,CHL,Chile,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,11,GLOTIP
722,CHL,Chile,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,34,GLOTIP
726,CHL,Chile,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,11,GLOTIP
728,CHL,Chile,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,6,GLOTIP
729,CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2014,Counts,11,GLOTIP
737,CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2015,Counts,5,GLOTIP
742,CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2016,Counts,8,GLOTIP
744,CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2016,Counts,6,GLOTIP
754,CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2018,Counts,54,GLOTIP
756,CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2018,Counts,110,GLOTIP
758,CIV,Côte d’Ivoire,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,8,GLOTIP
779,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2016,Counts,5,GLOTIP
781,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2016,Counts,6,GLOTIP
783,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,44,GLOTIP
786,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,5,GLOTIP
788,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,8,GLOTIP
791,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,65,GLOTIP
797,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,6,GLOTIP
799,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,16,GLOTIP
803,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,8,GLOTIP
804,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,45,GLOTIP
813,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,5,GLOTIP
817,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,8,GLOTIP
818,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,65,GLOTIP
820,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2019,Counts,6,GLOTIP
831,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,25,GLOTIP
832,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,40,GLOTIP
834,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2020,Counts,8,GLOTIP
839,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2021,Counts,6,GLOTIP
841,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,10,GLOTIP
845,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2021,Counts,26,GLOTIP
846,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,73,GLOTIP
848,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2021,Counts,13,GLOTIP
853,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,5,GLOTIP
859,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,21,GLOTIP
860,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,28,GLOTIP
867,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,11,GLOTIP
868,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,5,GLOTIP
874,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,9,GLOTIP
876,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,10,GLOTIP
884,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,7,GLOTIP
885,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,7,GLOTIP
891,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2021,Counts,7,GLOTIP
893,CUB,Cuba,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2014,Counts,9,GLOTIP
894,CUB,Cuba,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,7,GLOTIP
895,CUB,Cuba,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2015,Counts,7,GLOTIP
898,CUB,Cuba,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,6,GLOTIP
902,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2014,Counts,7,GLOTIP
904,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2014,Counts,11,GLOTIP
908,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2015,Counts,6,GLOTIP
910,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2015,Counts,14,GLOTIP
912,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2015,Counts,6,GLOTIP
920,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2016,Counts,6,GLOTIP
926,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,5,GLOTIP
928,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,16,GLOTIP
936,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,30,GLOTIP
944,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,23,GLOTIP
